Designator,Mid X,Mid Y,Rotation,Layer
C1,313.8625,-82.4075,0.0,bottom
C10,232.5875,-148.75,0.0,bottom
C100,275.4275,-110.9675,0.0,bottom
C101,294.4675,-110.9675,0.0,bottom
C102,332.25,-110.9675,0.0,bottom
C103,356.645,-110.9675,0.0,bottom
C104,237.05,-110.9675,0.0,bottom
C11,75.5075,-129.71,0.0,bottom
C12,293.5175,-149.0475,0.0,bottom
C15,94.5475,-129.71,0.0,bottom
C16,332.25,-187.1275,0.0,bottom
C17,295.0625,-82.4075,0.0,bottom
C18,113.5875,-129.71,0.0,bottom
C19,308.45,-187.1275,0.0,bottom
C2,260.85,-187.1275,0.0,bottom
C20,265.9075,-130.0075,0.0,bottom
C21,246.8675,-129.71,0.0,bottom
C22,227.8275,-130.0075,0.0,bottom
C23,356.645,-130.0075,0.0,bottom
C24,332.5475,-130.0075,0.0,bottom
C25,270.6675,-148.75,0.0,bottom
C26,52.3025,-137.7425,90.0,bottom
C29,213.5475,-148.75,0.0,bottom
C3,151.6675,-129.71,0.0,bottom
C30,375.09,-187.425,0.0,bottom
C31,284.9475,-187.1275,0.0,bottom
C32,288.22,-168.0875,0.0,bottom
C33,276.0225,-82.4075,0.0,bottom
C34,209.085,-82.4075,0.0,bottom
C35,354.86,-187.1275,0.0,bottom
C36,208.49,-129.71,0.0,bottom
C37,189.7475,-129.71,0.0,bottom
C38,170.7075,-129.71,0.0,bottom
C39,76.6975,-149.0475,180.0,bottom
C4,132.6275,-129.71,0.0,bottom
C40,251.6275,-148.75,0.0,bottom
C49,261.1475,-168.0875,0.0,bottom
C5,303.9875,-130.0075,0.0,bottom
C50,194.5075,-148.75,0.0,bottom
C51,175.4675,-148.75,0.0,bottom
C52,247.165,-82.4075,0.0,bottom
C53,228.125,-82.4075,0.0,bottom
C54,190.045,-82.4075,0.0,bottom
C57,161.1875,-82.4075,0.0,bottom
C58,142.1475,-82.4075,0.0,bottom
C59,123.1075,-82.4075,0.0,bottom
C6,284.65,-130.0075,0.0,bottom
C60,241.215,-167.4925,0.0,bottom
C61,203.4325,-168.0875,0.0,bottom
C62,82.945,-168.0875,0.0,bottom
C65,99.3075,-149.0475,0.0,bottom
C66,137.3875,-149.0475,0.0,bottom
C67,156.4275,-148.75,0.0,bottom
C68,118.3475,-148.75,0.0,bottom
C69,46.9475,-94.3075,90.0,bottom
C7,375.3875,-110.9675,0.0,bottom
C70,65.69,-110.9675,180.0,bottom
C73,84.73,-110.67,0.0,bottom
C74,141.85,-110.9675,0.0,bottom
C75,104.0675,-82.4075,0.0,bottom
C76,75.805,-82.4075,0.0,bottom
C77,184.69,-168.0875,0.0,bottom
C78,223.0675,-168.0875,0.0,bottom
C8,378.065,-121.025,90.0,bottom
C81,376.5775,-177.31,0.0,bottom
C82,70.1525,-187.7225,0.0,bottom
C83,165.3525,-175.525,90.0,bottom
C84,226.6375,-189.805,0.0,bottom
C85,165.9475,-163.03,180.0,bottom
C86,103.77,-110.67,0.0,bottom
C87,122.81,-110.9675,0.0,bottom
C88,161.1875,-110.9675,0.0,bottom
C89,180.2275,-110.9675,0.0,bottom
C9,375.685,-130.0075,0.0,bottom
C90,198.97,-110.9675,0.0,bottom
C91,218.3075,-110.9675,0.0,bottom
C92,146.9075,-168.0875,180.0,bottom
C93,108.8275,-168.0875,0.0,bottom
C94,127.57,-168.0875,0.0,bottom
C95,47.84,-168.385,90.0,bottom
C96,94.5475,-187.1275,0.0,bottom
C97,201.0525,-189.5075,0.0,bottom
C98,333.7375,-159.7575,0.0,bottom
C99,256.3875,-110.9675,0.0,bottom
D10,92.225,-118.165,90.0,bottom
D11,96.985,-137.685,90.0,bottom
D12,106.505,-156.245,90.0,bottom
D13,89.845,-175.4675,90.0,bottom
D14,120.785,-70.3315,90.0,bottom
D15,101.745,-99.125,90.0,bottom
D16,111.265,-118.165,90.0,bottom
D17,116.3225,-137.3875,90.0,bottom
D18,125.545,-156.194,90.0,bottom
D19,113.645,-175.65,90.0,bottom
